start time,request type (ie POST),latency,response code
1606517463261,GET,22203,200
1606517485464,GET,27036,200
1606517512500,GET,25392,200
1606517537893,GET,24515,200
1606517562408,GET,26995,200
1606517589403,GET,21343,200
1606517610746,GET,12690,200
1606517409170,GET,24208,200
1606517433378,GET,26966,200
1606517460344,GET,24004,200
1606517484348,GET,22648,200
1606517506996,GET,27008,200
1606517534004,GET,25515,200
1606517559519,GET,26723,200
1606517586242,GET,23177,200
1606517609419,GET,13501,200
1606517622920,GET,6882,200
1606517374018,GET,21576,200
1606517395594,GET,22288,200
1606517417882,GET,24111,200
1606517441993,GET,22289,200
1606517464282,GET,23557,200
1606517487839,GET,26286,200
1606517514125,GET,24822,200
1606517538947,GET,27614,200
1606517566561,GET,23602,200
1606517590163,GET,21068,200
1606517387758,GET,23058,200
1606517410816,GET,25881,200
1606517436697,GET,25590,200
1606517462287,GET,22726,200
1606517485013,GET,23670,200
1606517508683,GET,26551,200
1606517535234,GET,25192,200
1606517560426,GET,26811,200
1606517587237,GET,22392,200
1606517609629,GET,13431,200
1606517348263,GET,23832,200
1606517372095,GET,22979,200
1606517395074,GET,21491,200
1606517416565,GET,24800,200
1606517441365,GET,22902,200
1606517464267,GET,23567,200
1606517487834,GET,26281,200
1606517514115,GET,24768,200
1606517538883,GET,27608,200
1606517566491,GET,23378,200
1606517376980,GET,23709,200
1606517400689,GET,22239,200
1606517422928,GET,24422,200
1606517447350,GET,24882,200
1606517472232,GET,26665,200
1606517498897,GET,26729,200
1606517525626,GET,23117,200
1606517548743,GET,25571,200
1606517574314,GET,26618,200
1606517600932,GET,17801,200
1606517548397,GET,25567,200
1606517573964,GET,26599,200
1606517600563,GET,17740,200
1606517618303,GET,8719,200
1606517627022,GET,5700,200
1606517632722,GET,4834,200
1606517637556,GET,4237,200
1606517641793,GET,4186,200
1606517645979,GET,3644,200
1606517649623,GET,3480,200
1606517374300,GET,21743,200
1606517396043,GET,23321,200
1606517419364,GET,24098,200
1606517443462,GET,22983,200
1606517466445,GET,26633,200
1606517493078,GET,25049,200
1606517518127,GET,27508,200
1606517545635,GET,23680,200
1606517569315,GET,24597,200
1606517593912,GET,20846,200
1606517374356,GET,21526,200
1606517395882,GET,23079,200
1606517418961,GET,23610,200
1606517442571,GET,22321,200
1606517464892,GET,26766,200
1606517491658,GET,24598,200
1606517516256,GET,24954,200
1606517541210,GET,26836,200
1606517568046,GET,23057,200
1606517591103,GET,21758,200
1606517380260,GET,22118,200
1606517402378,GET,26424,200
1606517428802,GET,22827,200
1606517451629,GET,28055,200
1606517479684,GET,25309,200
1606517504993,GET,23246,200
